,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,#,,,,,,
#,,,,,,#,,#,,,,,,
#,#,#,#,#,#,#,#,#,#,#,#,#,,
#,,,,,,#,,#,,,,#,,
#,,,,,,#,,#,,,,#,,
#,,,,,,#,#,#,#,#,#,#,,
#,#,#,#,#,#,#,,#,,,,#,,
#,,,,,,#,,#,,,,#,,
#,#,#,#,#,#,#,#,#,#,#,#,#,,
#,,,,,,#,,,,,,#,,
#,,,,,,#,#,#,#,#,#,#,#,#
#,,,,,,#,,,,,,#,,#
#,,,,,,#,,,,,,#,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
